"feature","coefficient","abs_coefficient","feature_sd","std_coefficient","abs_std_coefficient"
"alcohol",0.884981655361615,0.884981655361615,1.05931267903303,0.937472288236199,0.937472288236199
"volatile.acidity",-3.4952706523169,3.4952706523169,0.181040291791966,-0.632784818787347,0.632784818787347
"total.sulfur.dioxide",-0.0167015710398775,0.0167015710398775,33.11058064694,-0.55299871484646,0.55299871484646
"sulphates",2.88085134106876,2.88085134106876,0.171902467725932,0.495225454681282,0.495225454681282
"free.sulfur.dioxide",0.0254945840921748,0.0254945840921748,10.4635850603756,0.266764749227369,0.266764749227369
"fixed.acidity",0.142877836537559,0.142877836537559,1.74073111699391,0.248711895989699,0.248711895989699
"citric.acid",-1.21830188051369,1.21830188051369,0.192840782283235,-0.234938287695396,0.234938287695396
"chlorides",-3.84932961070222,3.84932961070222,0.049744704662547,-0.191483764633179,0.191483764633179
"density",-69.2998082856542,69.2998082856542,0.00188675564062025,-0.13075180417686,0.13075180417686
"residual.sugar",0.0819155810250164,0.0819155810250164,1.36989181527144,0.112215483989375,0.112215483989375
"pH",-0.282854168984867,0.282854168984867,0.156340184458164,-0.0442214729538549,0.0442214729538549
