"Feature","RF_Importance","GBM_Importance"
"alcohol",100,100
"sulphates",76.4962466231825,44.8235391033384
"volatile.acidity",63.6493055380865,35.5600577755472
"total.sulfur.dioxide",55.242559901605,37.8639679625338
"density",45.0125464767195,15.5378572930265
"pH",39.2606576482439,18.1752682117591
"fixed.acidity",38.8475648614527,16.5408432138964
"chlorides",37.028832963218,19.7126612338325
"free.sulfur.dioxide",36.2793291033708,18.6262336191592
"citric.acid",30.9996383817048,11.1444829061732
"residual.sugar",30.945266488064,8.47635376863513
